,content
217,Tin dịch bệnh do virus Corona chiều 24/4 | Tin covid-19 Việt Nam | Đại dịch Viêm Phổi Vũ Hán  http://trumpathon.com/tin-dich-benh-do-virus-corona-chieu-24-4-tin-covid-19-viet-nam-dai-dich-viem-phoi-vu-han/ …
218,"Thương chiến và Covid-19 khép lại thời kỳ TQ là “công xưởng thế giới”, Việt Nam đi đầu trong nhóm điểm đến mới  https://goodstock.vn/thuong-chien-va-covid-19-khep-lai-thoi-ky-tq-la-cong-xuong-the-gioi-viet-nam-di-dau-trong-nhom-diem-den-moi/ … pic.twitter.com/Q66wAoioxp"
219,"Thủ tướng vừa ban hành quyết định quy định về việc thực hiện các chính sách hỗ trợ người dân gặp khó khăn do đại dịch Covid-19.Ảnh minh họaTheo đó, điều kiện, trình tự hỗ trợ các đối tượng gặp khó khăn do đại dịch COVID-19 sau:-  https://xaluan247.info/dieu-kien-thu-tuc-ho-tro-nguoi-dan-gap-kho-khan-do-dich-covid-19/ …"
220,"Nghi nhiễm COVID-19, trận Liverpool gặp Atletico Madrid bị điều tra  https://bongda.ws/nghi-nhiem-covid-19-tran-liverpool-gap-atletico-madrid-bi-dieu-tra/ … pic.twitter.com/G9hv16ZaLj"
221,Vui mừng đúng mức vì nguy cơ dịch bệnh Covid-19 vẫn còn  https://tinhangngay.vn/vui-mung-dung-muc-vi-nguy-co-dich-benh-covid-19-van-con/ … pic.twitter.com/DXLXs0xhRB
222,#von.gov.ng.COVID-19:Ìyàwó ààrẹ Buhari pín àwọn ohun ilé-ìwòsàn. https://www.von.gov.ng/yoruba/covid-19iyawo-aare-buhari-pin-awon-ohun-ile-iwosan/ …. pic.twitter.com/Si2XCUd1hx
223,"dù nước ta kiểm soát tốt dịch Covid-19 nhưng ko ai đc chủ quan, lơ là. CHÔNG DỊCH NHƯ CHỐNG GIẶC"
224,"troi oi em tức á chị, đhs bọn nó keu thời covid khó khăn nên share vậy là bt dù gì idol cũng giàu sẵn r??? ăn nói như l"
225,Vinpearl khuyến mãi khủng đón mùa du lịch hậu Covid-19: Hệ thống khách sạn Vinpearl và công…  https://goo.gl/fb/VuuCoZ 
226,Covid-19 : Bắc Kinh gây áp lực để châu Âu không tố cáo Trung Quốc loan tin thất thiệt  http://rfi.my/5njg.T  qua @RFI_Vi
227,"Vinpearl khuyến mãi khủng đón mùa du lịch hậu Covid-19 #news  https://vnexpress.net/vinpearl-khuyen-mai-khung-don-mua-du-lich-hau-covid-19-4090315.html … 
Hệ thống khách sạn Vinpearl và công viên chủ đề VinWonders ra mắt gói ưu đãi ""Vinpearl sẵn sàng, ưu đãi ngỡ ngàng"" tới 50% giá trị, thời hạn đến 30/11."
228,"Vaccine Covid-19 đầu tiên Trung Quốc sẽ có trong năm sau #news  https://vnexpress.net/vaccine-covid-19-dau-tien-trung-quoc-se-co-trong-nam-sau-4090346.html … 
Vaccine có thể được phân phối đại trà vào đầu năm sau, sử dụng khẩn cấp đối với các nhân viên y tế tiền tuyến trong tháng 9 tới."
229,Bộ kit xét nghiệm Covid-19 Việt Nam sản xuất được WHO công nhận  https://tinhangngay.vn/bo-kit-xet-nghiem-covid-19-viet-nam-san-xuat-duoc-who-cong-nhan/ … pic.twitter.com/wCa2kTSxOp
230,Đã có 225 bệnh nhân mắc COVID-19 được công bố khỏi  https://tinhangngay.vn/da-co-225-benh-nhan-mac-covid-19-duoc-cong-bo-khoi/ … pic.twitter.com/Y6kOUUCrb3
231,"Nhịp sống 24h - Trưa, 26/4/2020 | Thế giới có hơn 200.000 người đã tử vong vì Covid-19 | THDT #news https://www.youtube.com/watch?v=yfeLu4MWk44 …"
232,Dân Mỹ lũ lượt đổ ra biển như chưa hề có COVID-19  http://hoicodo.com/618394/dan-my-lu-luot-do-ra-bien-nhu-chua-he-co-covid-19/ … pic.twitter.com/Lz1FhEv8y8
233,Bộ Y tế lại yêu cầu báo cáo vụ mua máy xét nghiệm Covid-19 | THDT #news https://www.youtube.com/watch?v=tPSOOOohQCU …
234,Có nhiều lý do khiến bệnh nhân dương tính trở lại với Covid-19 | THDT #news https://www.youtube.com/watch?v=IgI2YuefF1M …
235,Việt Nam nghiên cứu về các ca dương tính trở lại với Covid-19 | THDT #news https://www.youtube.com/watch?v=0-wzW96yXLI …
236,"Giám đốc Sở Y tế Quảng Nam nói về việc mua máy xét nghiệm Covid-19 giá 7,2 tỷ  https://tinviet360.com/index.php/2020/04/26/giam-doc-so-y-te-quang-nam-noi-ve-viec-mua-may-xet-nghiem-covid-19-gia-72-ty/ … pic.twitter.com/GTDTKQWGwV"
237,Ý thả 3 ông trùm mafia để ngăn COVID-19 lây lan trong tù  https://www.nguoi-viet.com/the-gioi/y-tha-tu-3-ong-trum-mafia-de-ngan-covid-19-lay-lan-trong-tu/ …
238,"Những bộ phim nhọ đủ đường: Bị hoãn vì COVID-19, không rõ ngày trở lại!  https://tinhangngay.vn/nhung-bo-phim-nho-du-duong-bi-hoan-vi-covid-19-khong-ro-ngay-tro-lai/ … pic.twitter.com/OjVASm7WYa"
239,Số ca tử vong do Covid-19 ở Anh vượt mốc “kinh hoàng” 20.000  http://hoicodo.com/618389/so-ca-tu-vong-do-covid-19-o-anh-vuot-moc-kinh-hoang-20-000/ … pic.twitter.com/AJw4Q7k1iH
240,Diễn Đàn Trái Chiều : BÀI 122: COVID ĐỊNH NGHĨA LẠI NHÂN QUYỀN  https://diendantraichieu.blogspot.com/2020/04/bai-122-covid-inh-nghia-lai-nhan-quyen.html?spref=tw …
241,"( http://Chinhphu.vn ) - Bản tin lúc 6h00 ngày 26/4 của Ban Chỉ đạo Quốc gia Phòng chống dịch COVID-19 cho biết, không có ca mắc mới COVID-19 nào. Hiện cả nước vẫn có 270 ca mắc, trong số này 225 ca đã khỏi bệnh/xuất viện.  https://xaluan247.info/vgp-news-sang-26-4-khong-co-ca-mac-moi-covid-19-da-co-225-ca-khoi-benh/ …"
242,"Gọi gái về nhà ""bay đêm"" mùa Covid-19, sao Premier League khiến CLB hoảng hồn #news  https://soha.vn/goi-gai-ve-nha-bay-dem-mua-covid-19-sao-premier-league-khien-clb-hoang-hon-20200426105515172.htm … 

Có vô vàn nỗi lo trong mùa Covid-19, CLB Everton lại vừa bị dịp hoảng hồn vì thói ăn chơi của cầu thủ mới 20 tuổi Moise Kean."
243,Ngành nào sẽ nhận được cú huých đáng kể hậu đại dịch Covid-19?  https://goodstock.vn/nganh-nao-se-nhan-duoc-cu-huych-dang-ke-hau-dai-dich-covid-19/ … pic.twitter.com/6FrWEz1bMM
244,Covid-19 : Trung Quốc cần trả giá vì để dịch bệnh lan ra toàn cầu  http://rfi.my/5mlG.T  via @RFI_Vi
245,"Covid-19: Phòng thí nghiệm P4 tại Vũ Hán, bài học lọc lừa  http://rfi.my/5n05.T  via @RFI_Vi"
246,"Sáng 26/4, Việt Nam không ghi nhận ca mắc COVID-19 mới  https://vtc.vn/tin-tuc/sang-264-viet-nam-khong-ghi-nhan-ca-mac-covid-19-moi-ar542440.html …"
247,"Điện giảm giá nhưng kỳ ghi chú lại dài ngày ra do covid 19 nên tiền tháng vẫn thế, xăng giảm giá nhưng 1/2 tháng giãn cách xã hội không ra đường, giá gas giảm nhưng cách ly toàn ở nhà dùng nhiều số lượng gas nhiều hơn.... nước nói cắt lại ko..dân trữ nước"
248,Reuters: TQ ép EU bỏ chỉ trích về thông tin xuyên tạc liên quan tới dịch COVID  https://www.voatiengviet.com/a/reuters-trung-quoc-ep-eu-bo-chi-trich-ve-thong-tin-xuyen-tac-lien-quan-toi-dich-covid/5391891.html …
249,"Covid-19 : Bắc Kinh gây áp lực để châu Âu không tố cáo Trung Quốc loan tin thất thiệt  http://rfi.my/5njg.T  via @RFI_Vi
Hãy nhìn xem bo mặt trao tro, hèn hạ của TC trong trách nhiệm đại dịch Vu Han/ china VIRUS???"
250,"Du khách liều lĩnh trong Covid-19 #news  https://vnexpress.net/du-khach-lieu-linh-trong-covid-19-4089078.html … 
Sery Kim mua 6 vé máy bay vì giá vé giảm 50% và phải hủy ít nhất hai vé vì khách sạn nơi cô đến đóng cửa do Covid-19."
251,"Kiếm được bạn gái trong thời Covid-19 #news  https://vnexpress.net/kiem-duoc-ban-gai-trong-thoi-covid-19-4090296.html … 
Anh Mike ở Ohio bị cô gái quen trên mạng cho số điện thoại giả, không ngờ số này cho anh quen với một nữ diễn viên xinh đẹp."
252,Kinh tế trưởng Mekong Economics: Cách Việt Nam đối phó đại dịch Covid-19 báo hiệu cho thế giới đây không còn là quốc gia đang phát triển nữa!  https://ngon24h.wordpress.com/2020/04/26/kinh-te-truong-mekong-economics-cach-viet-nam-doi-pho-dai-dich-covid-19-bao-hieu-cho-the-gioi-day-khong-con-la-quoc-gia-dang-phat-trien-nua/ … pic.twitter.com/N2OVPCllX5
253,"Covid-19: Thế giới hơn 200.000 người chết, Brazil như trong phim kinh dị  https://ngon24h.wordpress.com/2020/04/26/covid-19-the-gioi-hon-200-000-nguoi-chet-brazil-nhu-trong-phim-kinh-di/ … pic.twitter.com/yFrC1mrIcD"
254,Infographic: Cập nhật liên tục diễn biến dịch COVID-19 trên toàn cầu ngày 26/4  https://vtc.vn/tin-tuc/infographic-cap-nhat-lien-tuc-dien-bien-dich-covid-19-tren-toan-cau-ar532582.html …
255,Ngoại trưởng Pompeo: Mỹ sẽ cho thế giới biết nguồn gốc COVID-19 từ Trung Quốc  https://vtc.vn/thoi-su-quoc-te/ngoai-truong-pompeo-my-se-cho-the-gioi-biet-nguon-goc-covid-19-tu-trung-quoc-ar542449.html …
256,Đại dịch COVID-19 ngày 26/4: Số người chết trên thế giới vượt mốc 200.000  https://vtc.vn/thoi-su-quoc-te/dai-dich-covid-19-ngay-264-so-nguoi-chet-tren-the-gioi-vuot-moc-200000-ar542439.html …
257,「HUMAN FALL FLAT」ĐI TẮM BIỂN THỜI COVID | TẬP 2  https://youtu.be/71UBEbcc-m8  via @YouTube
258,COVID-19: Số người thiệt mạng ở Anh và Pháp vượt 20.000  https://vtc.vn/thoi-su-quoc-te/covid-19-so-nguoi-thiet-mang-o-anh-va-phap-vuot-20000-ar542442.html …
259,Các hãng hàng không phải hoàn tiền vé cho hành khách do ảnh hưởng Covid-...  https://youtu.be/Au0-ugFK744  via @YouTube
260,"Đại dịch Covid-19: Trung Quốc và hiệu ứng ‘‘gậy ông đập lưng ông’’  http://rfi.my/5nhT.T  via @RFI_Vi
TC gieo từng cơn gió nho, nhiều và liên tục, kéo dài nhiều thập niên qua, nên hôm nay qua cơn đại dịch china VIRUS TC hứng lấy hậu quả là tất nhiên!!!"
261,"Dịch Covid-19 sáng 26/4: Mỹ lập kỷ lục về số ca nhiễm, dân vẫn biểu tình phản đối phong tỏa  https://ift.tt/357jytF  pic.twitter.com/gtg8PR6NJd"
262,Tự hào Việt Nam – 200 nghệ sĩ - Đánh bay Cô Vy - Chung tay chống Covid-19  https://youtu.be/8THNl-jvFSM  qua @YouTube
263,Gần 42.000 giáo viên bị ảnh hưởng thu nhập vì Covid-19:  https://nhipsonghomnay.vn/doi-song-xa-hoi/giao-duc/gan-42000-giao-vien-bi-anh-huong-thu-nhap-vi-covid-19.html#.XqUHEWGv4MU.twitter …
264,"Dịch Covid-19: Số người nhiễm bệnh tại Nga gần chạm 70.000, Singapore ghi nhận hơn 12.000 trường hợp  https://tinhangngay.vn/dich-covid-19-so-nguoi-nhiem-benh-tai-nga-gan-cham-70-000-singapore-ghi-nhan-hon-12-000-truong-hop/ … pic.twitter.com/zJuQJzXPNz"
265,"Luật 'chống mặt nạ' làm dấy lên lo ngại khi đeo khẩu trang #news  https://vnexpress.net/luat-chong-mat-na-lam-day-len-lo-ngai-khi-deo-khau-trang-4089758.html … 
Luật chống mặt nạ từng giúp ngăn chặn tổ chức phân biệt chủng tộc nhưng hiện lại khiến một số người ngại đeo khẩu trang phòng Covid-19."
266,Du khách liều lĩnh trong Covid-19: Sery Kim mua 6 vé máy bay vì giá vé giảm 50% và phải hủy…  https://goo.gl/fb/XsPtKt 
267,Doanh số ô tô toàn cầu dự kiến giảm 22% trong năm 2020 do Covid-19  https://ngon24h.wordpress.com/2020/04/26/doanh-so-o-to-toan-cau-du-kien-giam-22-trong-nam-2020-do-covid-19/ … pic.twitter.com/067doeDh37
268,"Nhiều lúc nghĩ nếu cuộc biểu tình hôm ấy ko bị hủy vì covid thì chuyện gì sẽ xảy ra ? Nhưng mà đáng tiếc ko có từ nếu, chỉ mong đến cuối cùng fd này sẽ được hạnh phúc, mn khổ quá rồi."
269,"Đoàn tàu riêng xuất hiện ở Wonsan, ông Kim Jong-un đang 'né' dịch COVID-19?
@- Ủng né Dịch Vũ Hán đang tìm Vịt Bắc Kinh. Qua Hè sẽ về vì Ủng hẹn với Trump rồi...(?!)  https://www.tienphong.vn/the-gioi/doan-tau-rieng-xuat-hien-o-wonsan-ong-kim-jongun-dang-ne-dich-covid19-1648612.tpo …"
270,Cách Việt Nam đối phó đại dịch Covid-19 báo hiệu cho thế giới đây không còn là quốc gia đang phát triển nữa!  https://goodstock.vn/cach-viet-nam-doi-pho-dai-dich-covid-19-bao-hieu-cho-the-gioi-day-khong-con-la-quoc-gia-dang-phat-trien-nua/ … pic.twitter.com/ze2UjTO95V
271,"Lần đầu tiên được ăn mì tôm của anh thật là :))
Tập 3 bị hoãn chiếu vì Covid-19 tại Nhật Bản và sẽ được chiếu lại từ tập 1 ;-;
Và phải chờ đến khá lâu mới có tập 3 :(((((  pic.twitter.com/hHCphZopwx"
272,"#LiveVeveta
Quarentena 2020!
Xô Covid!  pic.twitter.com/VrsLKqQuQm"
273,Bệnh nhân 137 tái dương tình: 4 người tiếp xúc gần âm tính lần 1 với Covid-19 | THDT #news https://www.youtube.com/watch?v=_NJzlvtCUdA …
274,"Biệt thự, nhà phố liền kề đón xu hướng đầu tư mới sau Covid-19  https://ift.tt/2S7Va5K "
275,"Dịch Covid-19 sáng 26/4: Mỹ lập kỷ lục về số ca nhiễm, dân vẫn biểu tình phản đối phong tỏa  https://ift.tt/2W1Q0JJ  pic.twitter.com/TS6fbmuUWL"
276,Bộ kít xét nghiệm Covid-19 của Việt Nam được WHO công nhận | THDT #news https://www.youtube.com/watch?v=emMsBm-D4FI …
277,WB cảnh báo kinh tế các nước đang phát triển suy giảm sâu vì Covid-19 | THDT #news https://www.youtube.com/watch?v=bHmnmskcM8E …
278,Hơn 1.100 nhân viên y tế Philippines nhiễm COVID-19  http://hoicodo.com/618371/hon-1-100-nhan-vien-y-te-philippines-nhiem-covid-19/ … pic.twitter.com/0ULr2bsAZa
279,Chuyến xe ngày dịch Covid 19  pic.twitter.com/SyAh5p2zcx
280,"Thủ tục để người khó khăn do Covid-19 được nhận hỗ trợ? #news  https://vnexpress.net/thu-tuc-de-nguoi-kho-khan-do-covid-19-duoc-nhan-ho-tro-4090317.html … Điều kiện, thủ tục để người lao động gặp khó khăn do Covid-19 được nhận hỗ trợ theo Nghị quyết số 42 của Chính phủ là gì? (Hồng Hạnh)"
281,Cục Hàng không: Các hãng phải hoàn tiền vé chuyến bay bị hủy cho hành khách trong dịch Covid-19  https://ngon24h.wordpress.com/2020/04/26/cuc-hang-khong-cac-hang-phai-hoan-tien-ve-chuyen-bay-bi-huy-cho-hanh-khach-trong-dich-covid-19/ … pic.twitter.com/tfpDXCeZAy
282,Nhóm du khách vào hang động trốn Covid-19 suốt 1 tháng vì hết tiền  http://diendandulich-vn.blogspot.com/2020/04/nhom-du-khach-vao-hang-ong-tron-covid.html … pic.twitter.com/ALQJWydqvc
283,"Sự khác biệt giữa Chỉ thị 15, Chỉ thị 16 và Chỉ thị 19 của Thủ tướng
#Covid_19
#phòng_chống_covid_19
#covid_19vietnam

Ảnh: TTHT KDL pic.twitter.com/24klzi3YsR"
284,Cửa khẩu mùa Covid 19  pic.twitter.com/h6MHfo6Z0l
285,"Cơ hội để V-League 'thay áo mới' #news  https://soha.vn/co-hoi-de-v-league-thay-ao-moi-20200426082910359.htm … 

Dịch COVID-19 khiến nhiều đội đứng trước nguy cơ vỡ về tài chính, tuy nhiên ở khía cạnh khác, dịch COVID-19 là hồi chuông báo động, buộc bóng đá Việt Nam phải thay đổi."
286,Nhóm du khách vào hang động trốn Covid-19 suốt 1 tháng vì hết tiền  https://ift.tt/3bQcow4  pic.twitter.com/CBJWOOvPrx
287,"SAI LẦM CÔ VY (COVID) - JAGAT SHIGH | MUSIC VIDEO OFFICIAL COVER
👉 https://youtu.be/Pc6_mot5S2U  pic.twitter.com/u0JGRPOpky"
288,Hải Phòng rà soát việc mua máy xét nghiệm Covid-19  https://tinhangngay.vn/hai-phong-ra-soat-viec-mua-may-xet-nghiem-covid-19/ … pic.twitter.com/DntdMiL1HA
289,Ông Trump hủy họp báo COVID-19 vì “tốn thời gian”  http://hoicodo.com/618357/ong-trump-huy-hop-bao-covid-19-vi-ton-thoi-gian/ … pic.twitter.com/0Q5cWP5Lou
290,Phá hai “ổ” ma túy đá mùa dịch COVID-19  http://hoicodo.com/618354/pha-hai-o-ma-tuy-da-mua-dich-covid-19/ … pic.twitter.com/Bvp2evAD9x
291,"Nghệ thuật điều tra, khoanh ổ dịch trong cuộc chiến chống Covid-19  https://tinhangngay.vn/nghe-thuat-dieu-tra-khoanh-o-dich-trong-cuoc-chien-chong-covid-19/ … pic.twitter.com/H0l3fAviXF"
292,Chữa Covid-19 bằng huyết tương thế nào?  http://dlvr.it/RVSqYG  pic.twitter.com/s566lUtS4r
293,Có thể học được gì từ Covid-19 và các cuộc khủng hoảng trong quá khứ?  https://goodstock.vn/co-the-hoc-duoc-gi-tu-covid-19-va-cac-cuoc-khung-hoang-trong-qua-khu/ … pic.twitter.com/KBdHXmVaMa
294,Toan tính của Trung Quốc khi khuấy đảo Biển Đông giữa Covid-19  https://rongvietthanghoa.site/toan-tinh-cua-trung-quoc-khi-khuay-dao-bien-dong-giua-covid-19 …
295,Báo Mỹ: Việt Nam có thể là quốc gia phản ứng với dịch Covid-19 hiệu quả nhất  https://baoquocte.vn/bao-my-viet-nam-co-the-la-quoc-gia-phan-ung-voi-dich-covid-19-hieu-qua-nhat-114453.html …
296,Lời tri ân những con người kiên cường hậu đại dịch COVID-19 #noithatmienbac1 #noithatmienbac #kienthucnoithat phanthanhnhan091197gmail.com- https://bit.ly/3bf4w7g  https://bit.ly/3bQ8vY0 
297,"WHO: Chưa có bằng chứng người đã khỏi COVID-19 sẽ miễn dịch: Tổ chức Y tế Thế giới (WHO) hôm nay, 25/4, tuyên bố...  http://goo.gl/iO981L "
298,"WHO phản đối phát hành ""hộ chiếu miễn dịch"" cho bệnh nhân Covid-19 bình phục: WHO cho rằng ý tưởng hộ chiếu miễn...  http://goo.gl/iO981L "
299,"Covid-19: Thế giới vượt 200.000 ca tử vong, dịch bệnh tại châu Á phức tạp: Số ca tử vong vì Covid-19 trên toàn thế...  http://goo.gl/iO981L "
300,"7h ngày 26/4: Số ca tử vong Covid-19 toàn cầu vượt ngưỡng 200.000 người, New York đang dần hạ nhiệt: Đến 7h ngày 26/4, theo số liệu  http://Worldometers.info , thế giới ghi nhận 2.915.452 ca nhiễm bệnh viêm đường hô hấp cấp Covid-19...  http://goo.gl/iO981L "
301,Quảng Ninh trang bị máy xét nghiệm Covid-19 thần tốc như thế nào?  https://ift.tt/2YcNrqG  pic.twitter.com/1xAGVDH7vs
302,"41.700 giáo viên ở Sài Gòn mất thu nhập vì Covid-19: 31.000 giáo viên mầm non, hơn 10.000 người ở các cấp học khác...  http://goo.gl/iO981L "
303,Quảng Ngãi: Nhiều ngành sản xuất gặp nhiều khó khăn do ảnh hưởng từ dịch Covid-19  https://ift.tt/3bDAsT7 
304,Làn sóng Covid-19 thứ 2 sẽ quay lại cùng với cúm mùa và đáng sợ hơn nhiều: (Dân trí) - “Làn sóng Covid-19 thứ 2 có...  http://goo.gl/iO981L 
305,Ban Chỉ đạo phòng chống COVID-19: Khả năng lây nhiễm trở lại là rất lớn: BCĐ xác định có thể tồn tại một số trường...  http://goo.gl/iO981L 
306,Lo ngại làn sóng Covid-19 thứ hai: Thứ trưởng Y tế Nguyễn Thanh Long lo ngại nếu xuất hiện làn sóng Covid-19 thứ...  http://goo.gl/iO981L 
307,Quảng Ninh: Cảm động việc hỗ trợ nông dân vượt qua dịch COVID-19  https://nghenong.com/2020/04/391434/quang-ninh-cam-dong-viec-ho-tro-nong-dan-vuot-qua-dich-covid-19-2/ … pic.twitter.com/PEAZHowCoK
308,"Chỉ thị 19/CT-TTg của Thủ tướng: Tiếp tục dừng lễ hội, nghi lễ tôn giáo, thể thao, chưa mở cửa karaoke, vũ trường: Thủ tướng vừa có Chỉ thị 19/CT-TTg về tiếp tục thực hiện các biện pháp phòng, chống dịch COVID-19...  http://goo.gl/iO981L "
309,Bản tin Covid-19 - 26/4/2020 | Ấm áp những hoạt động nghĩa tình giữa mùa dịch | THDT #news https://www.youtube.com/watch?v=2CcCOJOEwto …
310,Cafe mùa covid  pic.twitter.com/cao89OqQJv
311,Bill Gates chỉ ra 6 câu hỏi nhân loại cần phải trả lời được để hiểu và khống chế thành công đại dịch Covid-19  https://ngon24h.wordpress.com/2020/04/26/bill-gates-chi-ra-6-cau-hoi-nhan-loai-can-phai-tra-loi-duoc-de-hieu-va-khong-che-thanh-cong-dai-dich-covid-19/ … pic.twitter.com/GNNszfiDiG
312,"Hàng tấn túi thi thể dán nhãn Covid-19, Covid-19, Covid-19: Hệt như một bộ phim kinh dị  https://ngon24h.wordpress.com/2020/04/26/hang-tan-tui-thi-the-dan-nhan-covid-19-covid-19-covid-19-het-nhu-mot-bo-phim-kinh-di/ … pic.twitter.com/7w3sbM0uNb"
313,Máy xét nghiệm Covid-19 Hải Phòng đang dùng là đi mượn  https://tinviet360.com/index.php/2020/04/26/may-xet-nghiem-covid-19-hai-phong-dang-dung-la-di-muon/ … pic.twitter.com/PR01ubFE1G
314,VN-Index bật tăng mạnh nhờ tín hiệu tích cực về kiểm soát COVID-19  https://tinhangngay.vn/vn-index-bat-tang-manh-nho-tin-hieu-tich-cuc-ve-kiem-soat-covid-19/ … pic.twitter.com/K6HMSwdIy5
315,"Tự sướng mùa Covid ở nhà rảnh
#tusuong #tựsướng #handsome
 https://www.instagram.com/p/B_bWb07hYA7/?igshid=58nkhncackn8 …"
316,Công nghệ truy vết Covid-19 mới  https://tinhangngay.vn/cong-nghe-truy-vet-covid-19-moi/ … pic.twitter.com/T3cUbsGzaI
317,KẾT NỐI THÀNH CÔNG: Dịch COVID-19 sáng 26-4: thế giới hơn 200.000 ngườ...  http://www.ketnoithanhcong.com/2020/04/dich-covid-19-sang-26-4-the-gioi-hon-200000-nguoi-chet.html?spref=tw …
318,KẾT NỐI THÀNH CÔNG: Dịch COVID-19 sáng 26-4: thế giới hơn 200.000 ngườ...  http://www.ketnoithanhcong.com/2020/04/dich-covid-19-sang-26-4-the-gioi-hon-200000-nguoi-chet.html?spref=tw …
319,Quảng Ninh trang bị máy xét nghiệm Covid-19 thần tốc như thế nào?  https://ift.tt/3bFTsjH  pic.twitter.com/hzi6UaxiOT
320,Số ca mắc COVID-19 tại Việt Nam tới 7 giờ ngày 25/4  https://tinhangngay.vn/so-ca-mac-covid-19-tai-viet-nam-toi-7-gio-ngay-25-4/ … pic.twitter.com/ts9PBGAVVP
321,Bệnh viện tuyến đầu chống Covid-19 được thưởng huân chương  https://tinviet360.com/index.php/2020/04/26/benh-vien-tuyen-dau-chong-covid-19-duoc-thuong-huan-chuong/ … pic.twitter.com/aj5JqcMAK9
322,"vũ hán phong tỏa hơn 2 tháng, đến khi ko còn ca mới mỗi ngày nữa mới bắt đầu mở cửa trở lại thế mà còn chưa xong kia kìa. âu mẽo kiểu này sẽ kéo covid vào mùa thu chắc chắc luôn. lúc đấy vừa cúm mùa vừa covid chúng mày quay mòng mòng à"
323,"Số ca tử vong vì COVID-19 tăng quá cao, Thủ tướng Anh “không thể ngồi yên”  http://hoicodo.com/618342/so-ca-tu-vong-vi-covid-19-tang-qua-cao-thu-tuong-anh-khong-the-ngoi-yen/ … pic.twitter.com/quOgHFQZuU"
324,"Chọn ‘sống chung’ với Covid-19, Thụỵ Điển đã sai?  https://tinhangngay.vn/chon-song-chung-voi-covid-19-thuy-dien-da-sai/ … pic.twitter.com/dB9UorVYh4"
325,Covid-19 để lộ ra mặt trái của xã hội Singapore: Có một tầng lớp đã và đang bị phân biệt rõ ràng đến đáng sợ  https://ngon24h.wordpress.com/2020/04/26/covid-19-de-lo-ra-mat-trai-cua-xa-hoi-singapore-co-mot-tang-lop-da-va-dang-bi-phan-biet-ro-rang-den-dang-so/ … pic.twitter.com/kAIewoJTWr
326,Báo Mỹ nhận định Việt Nam ứng phó dịch Covid-19 rất hiệu quả  https://ngon24h.wordpress.com/2020/04/26/bao-my-nhan-dinh-viet-nam-ung-pho-dich-covid-19-rat-hieu-qua/ … pic.twitter.com/RIBy7jTIEQ
327,@- Để vậy đến Hè Vi rút Covid-19 sẽ chết hết giờ trị chi cho tốn kém! Lo mở cửa làm ăn đi Trump ơi! Covid-19 có trở lại cũng Lãi chán...(?!)  https://vnexpress.net/anh-sang-mat-troi-lam-suy-yeu-ncov-4089427.html …
328,"Đấu giá Porsche 911 đặc biệt, ủng hộ chống dịch COVID-19  https://tinhangngay.vn/dau-gia-porsche-911-dac-biet-ung-ho-chong-dich-covid-19/ … pic.twitter.com/cqpSjmtGhJ"
329,Tin tức dịch bệnh corona ( Covid-19 ) sáng 25/4 Tin tổng hợp virus corona Việt Nam đại dịch Vũ Hán  http://trumpathon.com/tin-tuc-dich-benh-corona-covid-19-sang-25-4-tin-tong-hop-virus-corona-viet-nam-dai-dich-vu-han/ …
330,"Xin phép xây dựng Bình Dương mùa Covid-19
 https://kimtrongphat.com/xin-phep-xay-dung-binh-duong/ …
 https://www.facebook.com/xinphepxaydungdianbinhduong …
 https://www.facebook.com/xinphepxaydungbencat/ …
 https://www.facebook.com/xinphepxaydungtanuyen …
 https://www.facebook.com/xinphepxaydungthuananbinhduong …
 https://www.facebook.com/xinphepxaydungthudaumotbinhduong …
 https://www.facebook.com/xinphepxaydungdianbinhduong …
 https://www.facebook.com/xinphepxaydungbactanuyen/ …
 https://www.facebook.com/kimtrongphat/ 
😘😘 pic.twitter.com/0KrjUZ93wj"
331,"Bản đồ Covid-19 toàn thế giới #news  https://vnexpress.net/covid-19/covid-19-the-gioi …
Covid-19 xuất hiện ở hơn 200 quốc gia, vùng lãnh thổ, khiến hơn 2,9 triệu người nhiễm, hơn 200.000 người chết."
332,"Covid-19: Sáng 26/4 không thêm ca nhiễm mới #news  https://vnexpress.net/covid-19-sang-26-4-khong-them-ca-nhiem-moi-4071803.html … 
Sáng nay không ghi nhận thêm ca nhiễm mới. Năm ca tái dương tính đưa số bệnh nhân đang điều trị lên 45."
333,"Chi tiêu qua thẻ giảm mạnh vì Covid-19 #news  https://vnexpress.net/chi-tieu-qua-the-giam-manh-vi-covid-19-4090234.html … 
Sức mua sắm trong mùa dịch đi xuống khiến chi tiêu qua thẻ cũng giảm mạnh nên các nhà băng Việt Nam đang đề nghị Visa và MasterCard giảm phí."
334,"Từ năm 2018, Bộ Ngoại Giao Mỹ được cảnh báo nguy cơ đại dịch COVID-19  https://www.nguoi-viet.com/hoa-ky/bo-ngoai-giao-nhan-canh-bao-nguy-co-dich-vu-han-tu-2018/ …"
335,Điều đáng sợ sau dịch COVID-19 đã xuất hiện  https://ngon24h.wordpress.com/2020/04/26/dieu-dang-so-sau-dich-covid-19-da-xuat-hien/ … pic.twitter.com/fzeqIL8bWQ
336,"BBC News Tiếng Việt - WHO: Đã âm tính với Covid-19, vẫn có thể bị lần nữa  https://www.bbc.com/vietnamese/world-52424979 …"
