,content
234,"Lịch đi học trở lại chi tiết của học sinh 63 tỉnh, thành #news  https://tuoitre.vn/lich-di-hoc-tro-lai-chi-tiet-cua-hoc-sinh-63-tinh-thanh-20200503091652328.htm … TTO - Sáng mai 4-5, nhiều tỉnh thành trong cả nước trong đó có Hà Nội, TP.HCM, Đà Nẵng, Cần Thơ... sẽ cho học sinh trở lại trường sau thời gian dài nghỉ phòng COVID-19."
235,Đằng sau 9.5 triệu usd Mỹ viện trợ cho Việt Nam chống dịch covid 19 là phúc hay hoạ ??  http://hoicodo.com/621310/dang-sau-9-5-trieu-usd-my-vien-tro-cho-viet-nam-chong-dich-covid-19-la-phuc-hay-hoa/ … pic.twitter.com/1HFm5jpoka
236,Dịch Covid-19: Số tử vong trên toàn thế giới đã vượt 200.000 người  https://tinhangngay.vn/dich-covid-19-so-tu-vong-tren-toan-the-gioi-da-vuot-200-000-nguoi/ … pic.twitter.com/0HVt2b3ngt
237,JUUN Đăng Dũng - A BETTER PLACE |  https://youtu.be/QwmYignktIk  #COVID__19 #specialthankstoheroes
238,"Mỹ cam kết viện trợ Việt Nam gần 9,5 triệu đôla chống COVID-19  https://www.voatiengviet.com/a/my-cam-ket-vien-tro-viet-nam-gan-9-phay-5-trieu-dola-chong-covid-19/5402505.html …"
239,Dịch COVID-19 sáng 3/5: Loại thuốc “phế phẩm” được Mỹ duyệt làm thuốc đặc trị  https://ift.tt/2ylL0b0  pic.twitter.com/ZJg3NCQj3o
240,Chuẩn bị chiến đấu sau một kì nghỉ dài chống covid 🚀🚀🚀🚀  pic.twitter.com/77F3rP4Vfu
241,Cập nhật Covid-19 ngày 3/5 | Thế giới gần 3.5 triệu ca nhiễm | Việt Nam ...  https://youtu.be/qQscwPz32kw  qua @YouTube
242,Covid-19 khiến doanh số smartphone giảm mạnh nhất trong 6 năm qua  https://tinhangngay.vn/covid-19-khien-doanh-so-smartphone-giam-manh-nhat-trong-6-nam-qua/ … pic.twitter.com/UopRAMaPf7
243,Dịch COVID-19 sáng 3/5: Loại thuốc “phế phẩm” được Mỹ duyệt làm thuốc đặc trị  https://ift.tt/2Wmkvu4  pic.twitter.com/4IsezxZoYm
244,Việt Nam lần đầu tiên thử nghiệm vaccine Covid-19 #news https://vnexpress.net/viet-nam-lan-dau-tien-thu-nghiem-vaccine-covid-19-4093296.html …
245,Du lịch sẽ như thế nào sau Covid-19? #news https://vnexpress.net/du-lich-se-nhu-the-nao-sau-covid-19-4092999.html …
246,Thủ tướng Anh hé lộ phương án dự phòng khi ông chết vì COVID-19  http://hoicodo.com/621306/thu-tuong-anh-he-lo-phuong-an-du-phong-khi-ong-chet-vi-covid-19/ … pic.twitter.com/ZX0JTN0LpW
247,"Du lịch sẽ như thế nào sau Covid-19?: Du lịch ngày càng bị hạn chế, thật khó để những người…  https://goo.gl/fb/D6gW9y "
248,"🔖 Dịch bệnh COVID-19 sáng 3/5: Gần 1.110.000 người được chữa khỏi.
💠 Tính đến 8 giờ 30 ngày 3/5 giờ Việt Nam, thế giới đã ghi nhận tổng cộng 3.481.465 ca nhiễm virus SARS-CoV-2 gây bệnh viêm đường hô hấp cấp COVID-19, trong đó…  https://thanhphohaiphong.gov.vn/dich-benh-covid-19-sang-3-5-gan-1-110-000-nguoi-duoc-chua-khoi.html … pic.twitter.com/LMbuJL038z"
249,"Xe buýt TPHCM hoạt động lại từ 4/5 #news  https://www.facebook.com/255026894850098_1254242718261839 … Ngày mai có xe buýt rồi ạ 🥰

69 tuyến xe buýt có trợ giá sẽ hoạt động lại từ ngày 4/5 sau hơn 1 tháng tạm ngưng hoạt động do ảnh hưởng bởi dịch COVID-19."
250,"Free online courses | இனி டியுசன் தேவை இல்லை  | Tamil
Full Video-  https://youtu.be/cCsRksg4DLU 
#job #lockdown #OnlineCourses #COVID__19 pic.twitter.com/VcoDduAu6l"
251,Dừng mua thuốc cho tình huống 10.000 ca nhiễm Covid-19  https://www.dkn.us/thoi-su/dung-mua-thuoc-cho-tinh-huong-10-000-ca-nhiem-covid-19.html#.Xq5FwXK-o9E.twitter …
252,Bệnh viện Điều trị COVID-19 Cần Giờ được tạm dừng hoạt động  https://www.dkn.us/suc-khoe/benh-vien-dieu-tri-covid-19-can-gio-duoc-tam-dung-hoat-dong.html#.Xq5FRST91ks.twitter …
253,WHO: Trung Quốc vẫn chưa mời chúng tôi tham dự cuộc điều tra nguồn gốc Covid-19  https://www.dkn.us/the-gioi/who-trung-quoc-van-chua-moi-chung-toi-tham-du-cuoc-dieu-tra-nguon-goc-covid-19.html#.Xq5DzFhR9p4.twitter …
254,Điểm tin kinh tế tuần qua: Nhà đầu tư Trung Quốc gia tăng ‘thâu tóm’ doanh nghiệp Việt giữa Covid-19  https://www.dkn.us/thoi-su/diem-tin-kinh-te-tuan-qua-nha-dau-tu-trung-quoc-gia-tang-thau-tom-doanh-nghiep-viet-giua-covid-19.html#.Xq5CY3vpQfw.twitter …
255,"Quốc tế Lao động anh em có đi đâu chơi không? Cẩn thận nếu đi chỗ đông người nhé. Chờ dịch hết hẳn rồi hẵng bỏ khẩu trang!
#COVID__19 #Vietnam"
256,"Cầu thủ Thái Lan đầu tiên bị ""đẩy ra đường"" vì CLB hết tiền trả lương: Ảnh hưởng của dịch Covid-19 thật đáng sợ #news https://soha.vn/cau-thu-thai-lan-dau-tien-bi-day-ra-duong-vi-clb-het-tien-tra-luong-anh-huong-cua-dich-covid-19-that-dang-so-2020050308513581.htm …"
257,"Vietnam Airlines, FLC lỗ ngàn tỉ đồng vì COVID-19  https://tinviet360.com/index.php/2020/05/03/vietnam-airlines-flc-lo%cc%83-ngan-ti%cc%89-dong-vi-covid-19/ … pic.twitter.com/ooFHzZuXos"
258,Thảo Tiên tận hưởng cuộc sống sau khi khỏi Covid-19 #news https://vnexpress.net/thao-tien-tan-huong-cuoc-song-sau-khi-khoi-covid-19-4093273.html …
259,17 ngày Việt Nam không có ca mắc Covid-19 mới trong cộng đồng  http://tvel.vn/17-ngay-viet-nam-khong-co-ca-mac-covid-19-moi-trong-cong-dong/ …
260,"Việt Nam không phát hiện ca nhiễm COVID-19 mới trong cộng đồng, thêm 2 ca tái dương tính  http://dlvr.it/RVvblB "
261,Mỹ viện trợ cho Việt Nam hơn 9 triệu đô la giúp ứng phó với COVID-19  http://dlvr.it/RVvbkS 
262,Thế giới tuần qua: Sẵn sàng trước nguy cơ COVID-19 tiếp tục tái diễn  http://tvel.vn/the-gioi-tuan-qua-san-sang-truoc-nguy-co-covid-19-tiep-tuc-tai-dien/ …
263,"Hướng dẫn may khẩu trang từ áo thun - How to make a mask with T-shirt
 https://youtu.be/mr89oKHMLkY  #coronavirus #COVID__19 #mask"
264,"Đại dịch COVID-19 làm chúng ta ở nhà nhiều hơn, ăn nhiều hơn dẫn đến nhiều người bị tăng cân nhanh chóng trong thời gian qua. Sau đây là 10 lời khuyên tốt nhất giúp bạn lấy lại cân bằng sau dịch bệnh.

 http://dadayvietthanh.com/bai-viet/dai-dich-covid19-dang-khien-chung-ta-nghien-do-an-gay-ra-tang-can-day-la-7-cach-tot-giup-ban-lay-lai-can-bang-sau-dich-d201.html …"
265,#tintuc #congnghe #Vietnam Tình hình đại dịch COVID-19 cập nhật đến sáng 03/05  https://ift.tt/2VZagNf 
266,"Mỹ cam kết viện trợ Việt Nam gần 9,5 triệu đôla chống COVID-19  https://www.voatiengviet.com/a/my-cam-ket-vien-tro-viet-nam-gan-9-phay-5-trieu-dola-chong-covid-19/5402505.html …"
267,Dự án BĐS giao dịch tốt nhất thời kỳ COVID-19  https://ift.tt/2VVByny 
268,"bác chim xanh ban cđm covid điii
@BTS_twt"
269,GIÁM SÁT NGOẠI TRÚ HÀNG NGÀY CÁC CA MẮC COVID-19 ĐÃ XUẤT VIỆN #news https://www.facebook.com/410892812277692_3277489925617952 …
270,Nga tăng kỷ lục gần 10.000 ca mắc Covid-19 trong một ngày: (Dân trí) - Nga ngày 2/5 tiếp tục ghi nhận số ca mắc...  http://goo.gl/iO981L 
271,"7h ngày 3/5: Italy bước sang giai đoạn 2 dịch Covid-19, Ấn Độ cảnh báo số người nhiễm tăng mạnh, châu Phi ""tăng nhiệt"" vì dịch bệnh: Tính đến 7h ngày 3/5, thế giới có 3.479.591 người nhiễm Covid-19...  http://goo.gl/iO981L "
272,Tin tức dịch bệnh corona ( Covid-19 ) chiều 8/4 Tin tổng hợp virus corona Việt Nam đại dịch Vũ Hán  https://opentro.com/tin-tuc-dich-benh-corona-covid-19-chieu-8-4-tin-tong-hop-virus-corona-viet-nam-dai-dich-vu-han/ … pic.twitter.com/u1rf1ugh07
273,"Cả nước còn 51 bệnh nhân Covid-19 đang điều trị, 16 ca đã âm tính: Sáng nay, 2.5, Ban Chỉ đạo quốc gia phòng,..  http://goo.gl/iO981L "
274,"Không ca mắc mới sáng 3/5, Việt Nam thử nghiệm tiêm vắc-xin phòng COVID-19 trên chuột: TPO - Sáng ngày 3/5, Bộ Y...  http://goo.gl/iO981L "
275,Cha mẹ cần chuẩn bị gì cho con trở lại trường học sau dịch Covid-19?: Trở lại trường học sau thời gian dài nghỉ...  http://goo.gl/iO981L 
276,Học sinh trở lại trường sau khi nghỉ vỉ dịch Covid-19: Làm sao bắt nhịp với việc học?: Sau thời gian nghỉ học kéo...  http://goo.gl/iO981L 
277,"Baba, we dey do covid vigil lọ́wọ́ lọ́wọ́"
278,Ngày thứ 17 không phát hiện ca mắc mới COVID-19 trong cộng đồng #news  https://www.facebook.com/255026894850098_1254224464930331 …
279,"Ngày mai ở Việt nam là ngày 4/5/2020  qua 15 ngày liên tiếp không có ca nhiễm mới covid 19 ngày mai là ngày các trường học từ lớp 9 đến lớp 12 đi học lại còn mần non nghỉ tiếp đến 11/5 ; lớp 1, 2 cũng nghỉ tiếp đến 11/5 mới đi học trở lại , ngày mai xe ."
280,Dịch COVID-19: Chiều 2/5 tiếp tục không có ca mới; ca nghi ngờ ở Gia Lâm âm tính  https://tinviet360.com/index.php/2020/05/03/dich-covid-19-chieu-2-5-tiep-tuc-khong-co-ca-moi-ca-nghi-ngo-o-gia-lam-am-tinh/ … pic.twitter.com/Wydpw645n3
281,WHO yêu cầu Bắc Kinh cho tham gia điều tra nguồn gốc Covid-19  http://rfi.my/5q0e.T  qua @RFI_Vi
282,"Dịch COVID-19 sáng 3-5: Thống đốc New York từ chối mở cửa lại, Việt Nam 0 ca mới  http://dlvr.it/RVvX6v  pic.twitter.com/nEsILrAtg9"
283,Bác sĩ kể cuộc điện thoại lúc nửa đêm của nữ bệnh nhân Covid-19  https://tinhangngay.vn/bac-si-ke-cuoc-dien-thoai-luc-nua-dem-cua-nu-benh-nhan-covid-19/ … pic.twitter.com/HjLHNevXol
284,"Bất chấp COVID-19, Trung Quốc liên tiếp có thêm tỷ phú USD  https://ngon24h.wordpress.com/2020/05/03/bat-chap-covid-19-trung-quoc-lien-tiep-co-them-ty-phu-usd/ … pic.twitter.com/RLlYVd8glK"
285,"Xử lý nghiêm hành vi đua xe trái phép trong thời điểm phòng, chống dịch Covid-19  https://tinhangngay.vn/xu-ly-nghiem-hanh-vi-dua-xe-trai-phep-trong-thoi-diem-phong-chong-dich-covid-19/ …"
286,Virus corona ngày 25/4 Tin covid-19 Việt Nam | Đại dịch Viêm Phổi Vũ Hán | Tình hình dịch corona  https://opentro.com/virus-corona-ngay-25-4-tin-covid-19-viet-nam-dai-dich-viem-phoi-vu-han-tinh-hinh-dich-corona/ … pic.twitter.com/2AAF4M7dld
287,KẾT NỐI THÀNH CÔNG: Dịch COVID-19 sáng 3-5: Thống đốc New York từ chối...  http://www.ketnoithanhcong.com/2020/05/dich-covid-19-sang-3-5-thong-doc-new-york-tu-choi-mo-cua-lai.html?spref=tw …
288,Việt Nam chia sẻ kinh nghiệm chống dịch COVID-19 với thế giới  http://hoicodo.com/621280/viet-nam-chia-se-kinh-nghiem-chong-dich-covid-19-voi-the-gioi/ … pic.twitter.com/K6kyjMvoia
289,ĐTC - Tự làm khẩu trang y tế phòng dịch covid-19  https://youtu.be/lU3mx8hk5dA  qua @YouTube
290,Cập nhật tình hình dịch Covid-19 | THDT #news https://www.youtube.com/watch?v=t_9EjfhnQm0 …
291,"Bước sang ngày thứ 17 liên tiếp, Việt Nam không có thêm ca mắc mới COVID-19  http://dlvr.it/RVvTSy  pic.twitter.com/F60vekaCTc"
292,Tin tức dịch bệnh corona ( Covid-19 ) chiều 7/4 Tin tổng hợp virus corona Việt Nam đại dịch Vũ Hán  https://opentro.com/tin-tuc-dich-benh-corona-covid-19-chieu-7-4-tin-tong-hop-virus-corona-viet-nam-dai-dich-vu-han/ … pic.twitter.com/dliSRzXWtC
293,Tin tức dịch bệnh corona ( Covid-19 ) trưa 5/4 Tin tổng hợp virus corona Việt Nam đại dịch Vũ Hán World status -  https://is.gd/cD8o5v 
294,"Cúm mùa giết chết nhiều người hơn Covid-19? Xin hãy ngưng so sánh khập khiễng, vì ngay cả điều này cũng không còn đúng nữa rồi  https://ngon24h.wordpress.com/2020/05/03/cum-mua-giet-chet-nhieu-nguoi-hon-covid-19-xin-hay-ngung-so-sanh-khap-khieng-vi-ngay-ca-dieu-nay-cung-khong-con-dung-nua-roi/ … pic.twitter.com/WsU7kwVy8Q"
295,"Tập đoàn của tỷ phú Warren Buffett ghi nhận khoản lỗ kỷ lục gần 50 tỷ USD chỉ trong quý I/2020 vì Nguyên nhân là do đại dịch Covid-19 tác động tiêu cực đến các khoản đầu tư cổ phiếu phổ thông

 https://cafebiz.vn/tap-doan-cua-ty-phu-warren-buffett-ghi-nhan-khoan-lo-ky-luc-gan-50-ty-usd-chi-trong-quy-i-20200503080138732.chn?fbclid=IwAR379rH-6nR0pUiMor9mK0cusfLrwovSfifSmNhfm5MyRKhPYgJf34Z-Kts … https://www.youtube.com/watch?v=69rm13iUUgE&feature=youtu.be&fbclid=IwAR3ibWf389Rq2ZiIAf4M5VsI4GjF-a_yLGM4Bjba_KExRJE9_K17SDngmCM …"
296,"Không ca mắc mới sáng 3/5, Việt Nam thử nghiệm tiêm vắc-xin phòng COVID-19 trên chuột  https://ngon24h.wordpress.com/2020/05/03/khong-ca-mac-moi-sang-3-5-viet-nam-thu-nghiem-tiem-vac-xin-phong-covid-19-tren-chuot/ … pic.twitter.com/60rtw4Wagw"
297,Triệu chứng mới của người nhiễm Covid-19 tại Nga | THDT #news https://www.youtube.com/watch?v=-WwsYq0mbkY …
298,"Thời trang ""sống chung với lũ"".
Virus Vũ Hán (COVID-19) có thể vẫn sẽ còn tiếp tục lâu dài. Buộc loài người phải tìm cách tự bảo vệ mình, để tồn tại. Bộ thiết kế nón chụp đầu có quạt lọc gió phía sau như thế này, là một giải pháp.
Ảnh nguồn: BioVYZR  pic.twitter.com/9fTcq4wf2U"
299,"Đại dịch COVID-19 ngày 3/5: Số ca nhiễm toàn cầu sắp đạt mốc 3,5 triệu  http://hoicodo.com/621256/dai-dich-covid-19-ngay-3-5-so-ca-nhiem-toan-cau-sap-dat-moc-35-trieu/ … pic.twitter.com/4LUxf0W5bm"
300,Thế giới có thêm hơn 81.000 ca mắc Covid-19 trong 24 giờ #news https://giaoducthoidai.vn/the-gioi-co-them-hon-81000-ca-mac-covid-19-trong-24-gio-20200503065030318.html …
301,2. Virus trong đạo Phật và Virus Covid ngày 2/5/2020 - Thích Nữ Giới Hương  https://youtu.be/1KfVgG5h6cw  via @YouTube
302,"Ảnh hưởng của dịch Covid, vốn ngoại vào Việt Nam giảm mạnh  https://tinhangngay.vn/anh-huong-cua-dich-covid-von-ngoai-vao-viet-nam-giam-manh/ … pic.twitter.com/81mKm4mIbt"
303,Số ca tử vong và mắc Covid-19 giảm tại nhiều nước  https://tinhangngay.vn/so-ca-tu-vong-va-mac-covid-19-giam-tai-nhieu-nuoc/ … pic.twitter.com/7BxdsgjoCl
304,"Dịch Covid-19 qua đi, tốt đẹp đang đến với bạn  pic.twitter.com/Q88RpsJsan"
305,"mình đã xem hết cả 2 season rồi và đúng như Namjoonie nói, nó hay dã man luôn TT 
chỉ tại đĩ covid mà t phải chờ mòn mỏi đợi season 3
có khi phải đợi 2 năm luôn á😭
@BTS_twt #BTS https://twitter.com/choi_bts2/status/1256547909706805248 …"
306,"ụtụtụ ọma Vampires
☕ #COVID__19 #TheWorldoftheMarried #NCDCGuineaPigs #0502YouthWithLISA #BritainsGotTalent #igbotictheep"
307,"21 tiếng ‘hành xác’ đến Đà Lạt: Con khóc, vợ chồng gây gổ, nơm nớp lo COVID-19  https://banmaihong.wordpress.com/2020/05/03/21-tieng-hanh-xac-den-da-lat-con-khoc-vo-chong-gay-go-nom-nop-lo-covid-19/ … pic.twitter.com/oPlzqaJpF3"
308,Việt Nam bước đầu tiêm thử nghiệm vắc xin phòng Covid-19 trên chuột  https://tinhangngay.vn/viet-nam-buoc-dau-tiem-thu-nghiem-vac-xin-phong-covid-19-tren-chuot/ … pic.twitter.com/EB6pCrs4IH
309,Đức Thánh Cha trả lời phỏng vấn liên quan đến đại dịch Covid-19: Trong cuộc phỏng vấn dài…  https://goo.gl/fb/yhPUEZ 
310,tu q tá certa xô covid sou🏠
311,Mỹ viện trợ thêm cho Việt Nam 5 triệu usd để hỗ trợ chống dịch Covid-19  http://dlvr.it/RVvN5T  pic.twitter.com/BSG0149Zwq
312,Irvine dự tính xét nghiệm COVID-19 cho tất cả cư dân  https://www.nguoi-viet.com/little-saigon/irvine-du-tinh-xet-nghiem-covid-19-cho-tat-ca-cu-dan/ …
313,Trái phiếu doanh nghiệp… ế vì Covid-19  https://tinhangngay.vn/trai-phieu-doanh-nghiep-e-vi-covid-19/ … pic.twitter.com/DNWrMjJp1c
314,WHO: Không có bằng chứng người khỏi bệnh Covid-19 sẽ miễn dịch  https://tinhangngay.vn/who-khong-co-bang-chung-nguoi-khoi-benh-covid-19-se-mien-dich/ … pic.twitter.com/NGfWgO1Kuk
315,Tin tức dịch bệnh corona ( Covid-19 ) chiều 3/4 Tin tổng hợp virus corona Việt Nam đại dịch Vũ Hán  https://opentro.com/tin-tuc-dich-benh-corona-covid-19-chieu-3-4-tin-tong-hop-virus-corona-viet-nam-dai-dich-vu-han/ … pic.twitter.com/goidUaeFuz
316,Quy trinh COVID 19 vi bao mat tui phai ton nhieu may!
317,Duoc tin cua con re anh duoc biet thang 6 nay thi USA go bo cach ly COVID 19.
318,"Hướng nghiệp thời Covid-19: Chậm nhưng không bị động #news  https://giaoducthoidai.vn/huong-nghiep-thoi-covid-19-cham-nhung-khong-bi-dong-20200425102511065.html …  GD&TĐ - Lãnh đạo nhiều trường khẳng định, hướng nghiệp cho học sinh là quá trình lâu dài, chứ không chỉ tập trung vào một vài tháng trước Kỳ thi tốt nghiệp THPT."
319,Ngày thứ 17 không có ca mắc COVID-19 lây nhiễm trong cộng đồng  http://hoicodo.com/621236/ngay-thu-17-khong-co-ca-mac-covid-19-lay-nhiem-trong-cong-dong/ … pic.twitter.com/6Z0e8dBFKE
320,"CON COVID19 XỔNG CHUỒNG CÓ THỂ AN HẾT CÁI LÁ PHỔI 3.8 NGÀN TỶ CỦA ""SÁNG KIẾN VÀNH ĐAI CON ĐƯỜNG"" 
COVID-19 Could Kill China’s $3.8 Trillion New Silk Road |  http://OilPrice.com   https://oilprice.com/Latest-Energy-News/World-News/COVID-19-Could-Kill-Chinas-38-Trillion-New-Silk-Road.html … #oilprice"
321,WHO: Biến chứng COVID-19 rất hiếm gặp ở trẻ em  https://tinviet360.com/index.php/2020/05/03/who-bien-chung-covid-19-rat-hiem-gap-o-tre-em/ … pic.twitter.com/14688t51Ur
322,Ứng dụng Bluezone giúp xác định người nghi nhiễm Covid-19  https://tintucday.com/ung-dung-bluezone-giup-xac-dinh-nguoi-nghi-nhiem-covid-19/ …
323,Giao dịch chứng khoán phí 0 đồng thời Covid-19  https://tinhangngay.vn/giao-dich-chung-khoan-phi-0-dong-thoi-covid-19/ … pic.twitter.com/eVhQ6hrf15
324,Dịch COVID-19 ngày 25/4: Gần 816.000 ca đã được chữa khỏi bệnh  https://tinhangngay.vn/dich-covid-19-ngay-25-4-gan-816-000-ca-da-duoc-chua-khoi-benh/ … pic.twitter.com/9fUxl5cHEt
325,"Washington Post: Mỹ có thể học hỏi Việt Nam kinh nghiệm chống COVID-19 - Tuổi Trẻ Online
 https://tuoitre.vn/washington-post-my-co-the-hoc-hoi-viet-nam-kinh-nghiem-chong-covid-19-20200502080820143.htm …"
326,Nhật Bản đành ‘bức tử’ thiên đường hoa tử đằng vì Covid-19  https://tinhangngay.vn/nhat-ban-danh-buc-tu-thien-duong-hoa-tu-dang-vi-covid-19/ … pic.twitter.com/3sfvZgvxYX
327,Tin dịch corona trưa 8/4 Thêm 2 ca nhiễm Covid-19 mới đều lây từ cộng đồng. Hà Nam họp khẩn  https://opentro.com/tin-dich-corona-trua-8-4-them-2-ca-nhiem-covid-19-moi-deu-lay-tu-cong-dong-ha-nam-hop-khan/ … pic.twitter.com/tz4kiy6d1o
328,"Mỹ, Anh huấn luyện chó săn phát hiện bệnh nhân COVID-19  https://www.nguoi-viet.com/hoa-ky/my-anh-huan-luyen-cho-san-phat-hien-benh-nhan-covid-19/ …"
329,Tương lai nào cho vụ kiện Trung Quốc vì Covid-19? #news https://vnexpress.net/tuong-lai-nao-cho-vu-kien-trung-quoc-vi-covid-19-4092949.html …
330,"Việt Nam không phát hiện ca nhiễm COVID-19 mới trong cộng đồng, thêm 2…  https://www.rfa.org/vietnamese/news/vietnamnews/another-2-positive-with-covid-19-again-05022020102520.html … 翻訳→  http://afnj.org/nt/407392/  #ベトナム #ニュース"
331,Mỹ viện trợ cho Việt Nam hơn 9 triệu đô la giúp ứng phó với COVID-19  https://www.rfa.org/vietnamese/news/vietnamnews/us-provided-vn-with-another-usd-5-mil-05022020101724.html … 翻訳→  http://afnj.org/nt/407393/  #ベトナム #ニュース
332,"Giữa Covid-19, Trung Quốc có thêm tỷ phú USD thứ 3 chỉ trong 2 tuần  https://tinhangngay.vn/giua-covid-19-trung-quoc-co-them-ty-phu-usd-thu-3-chi-trong-2-tuan/ … pic.twitter.com/9PrqiBs9RU"
333,Pháp đặt mục tiêu tiến hành ít nhất 500.000 xét nghiệm Covid-19 mỗi tuần  https://tinhangngay.vn/phap-dat-muc-tieu-tien-hanh-it-nhat-500-000-xet-nghiem-covid-19-moi-tuan/ … pic.twitter.com/umlSQHDXH5
334,Ngân hàng chung tay cởi nút thắt về vốn cho doanh nghiệp bị ảnh hưởng bởi COVID-19  https://nhadepdatvang.com/ngan-hang-chung-tay-coi-nut-that-ve-von-cho-doanh-nghiep-bi-anh-huong-boi-covid-19/ … pic.twitter.com/Qn12dNFlnW
335,"Tổng cục Du lịch vừa ban hành văn bản sửa đổi, bổ sung một số nội dung hướng dẫn phòng, chống dịch COVID-19 #vietnam https://www.youtube.com/watch?v=GODGl3JkXEU …"
336,Việt Nam có 218 ca Covid 19 sau khi công bố 6 ca bệnh mới  https://opentro.com/viet-nam-co-218-ca-covid-19-sau-khi-cong-bo-6-ca-benh-moi/ … pic.twitter.com/AuPwQV7Ds6
337,"21 tiếng 'hành xác' đến Đà Lạt: Con khóc, vợ chồng gây gổ, nơm nớp lo COVID-19 - Báo VTC News  https://baomoi.com/21-tieng-hanh-xac-den-da-lat-con-khoc-vo-chong-gay-go-nom-nop-lo-covid-19/c/34912497.epi …"
338,Tổ chức Y tế thế giới cảnh báo về ý tưởng ‘hộ chiếu miễn dịch’ Covid-19  https://tinhangngay.vn/to-chuc-y-te-the-gioi-canh-bao-ve-y-tuong-ho-chieu-mien-dich-covid-19/ … pic.twitter.com/Eyqxw12pBJ
339,WHO: Không có bằng chứng người khỏi bệnh COVID-19 không tái nhiễm  https://tinhangngay.vn/who-khong-co-bang-chung-nguoi-khoi-benh-covid-19-khong-tai-nhiem/ … pic.twitter.com/TkQrLSraQn
340,Dịch COVID-19: Số ca tử vong ở châu Âu vượt ngưỡng 120.000 người  https://tinhangngay.vn/dich-covid-19-so-ca-tu-vong-o-chau-au-vuot-nguong-120-000-nguoi/ … pic.twitter.com/laUK7QEw6a
341,Quang Hải hăng say tập luyện cùng Hà Nội FC sau 1 tháng nghỉ vì Covid-19  https://tinhangngay.vn/quang-hai-hang-say-tap-luyen-cung-ha-noi-fc-sau-1-thang-nghi-vi-covid-19/ … pic.twitter.com/D5dizdbeVq
342,Hơn 1.100 nhân viên y tế của Philippines đã mắc COVID-19  https://tinhangngay.vn/hon-1-100-nhan-vien-y-te-cua-philippines-da-mac-covid-19/ … pic.twitter.com/lAej0L3qIW
343,Tin tức dịch bệnh corona ( Covid-19 ) sáng 26/4 Tin tổng hợp virus corona Việt Nam đại dịch Vũ Hán  https://opentro.com/tin-tuc-dich-benh-corona-covid-19-sang-26-4-tin-tong-hop-virus-corona-viet-nam-dai-dich-vu-han/ … pic.twitter.com/E8Y79GFLci
344,"Quảng Nam mua máy xét nghiệm Covid-19 giá hơn 7 tỷ đồng, Chủ tịch tỉnh yêu cầu báo cáo, cần thiết sẽ thanh tra việc mua sắm  https://tinhangngay.vn/quang-nam-mua-may-xet-nghiem-covid-19-gia-hon-7-ty-dong-chu-tich-tinh-yeu-cau-bao-cao-can-thiet-se-thanh-tra-viec-mua-sam/ … pic.twitter.com/eyS4lOuhkq"
345,Mỹ tính kế quyết buộc Trung Quốc chịu trách nhiệm về COVID-19?  https://tintucday.com/my-tinh-ke-quyet-buoc-trung-quoc-chiu-trach-nhiem-ve-covid-19/ … pic.twitter.com/QQ4w0XG4tL
346,Bỏ quy định cấm du khách đăng thông tin về Covid-19  https://tinviet360.com/index.php/2020/05/03/bo-quy-dinh-cam-du-khach-dang-thong-tin-ve-covid-19/ … pic.twitter.com/aGxuQqQVlo
347,"Mỹ viện trợ cho Việt Nam 9,5 triệu USD trong cuộc chiến chống dịch Covid-19  http://thienhasu2018.com/2020/05/02/my-vien-tro-cho-viet-nam-95-trieu-usd-trong-cuoc-chien-chong-dich-covid-19/ … pic.twitter.com/jtSfLyEka8"
348,Chủ tịch Ủy ban châu Âu (EC) nói rằng bà rất muốn Trung Quốc cùng tham gia với quốc tế điều tra chính xác nguồn gốc dịch bệnh COVID-19. #vietnam https://www.youtube.com/watch?v=BiwidDGjJVc …
349,"Tin tức dịch covid-19 27/3 Việt Nam thêm 5 ca nhiễm Covid-19 lên 153 ca, Ổ dịch nguy hiểm bar Buddha  https://opentro.com/tin-tuc-dich-covid-19-27-3-viet-nam-them-5-ca-nhiem-covid-19-len-153-ca-o-dich-nguy-hiem-bar-buddha/ … pic.twitter.com/slUS06XG4i"
350,Cuộc sống trong phòng cách ly bệnh nhân Covid-19 sau khỏi bệnh  https://tinviet360.com/index.php/2020/05/03/cuoc-song-trong-phong-cach-ly-benh-nhan-covid-19-sau-khoi-benh/ … pic.twitter.com/v1qtnCS4bd
351,Chinh phục núi tuyết trong Covid-19  http://dlvr.it/RVv1gV  pic.twitter.com/FxMGH4Nvq3
352,8 cách phòng chống dịch Covid-19 cho người đến vùng có nguy cơ lây nhiễm cao  https://tinhangngay.vn/8-cach-phong-chong-dich-covid-19-cho-nguoi-den-vung-co-nguy-co-lay-nhiem-cao/ … pic.twitter.com/YKyQdMiBSg
353,Nghiên cứu: Các tiểu bang Mỹ phải chuẩn bị cho đợt COVID-19 thứ nhì  https://www.nguoi-viet.com/hoa-ky/ket-qua-nghien-cuu-cac-tieu-bang-my-phai-chuan-bi-cho-dot-covid-19-thu-nhi/ …
354,"Stay At Home And Drink Mate 🧉

اطلب الآن🧉🛒
 http://www.drmatearabia.com 
#mate #yerbamate #corona #covid_19
#Stay_At_Home_And_Drink_Mate
#stayathome
#متة #المتة #فوائد_المتة #الرياض #مكة #جدة #رمضان #الدمام pic.twitter.com/bom5kzGD2t"
