,content
234,The Economist: Lệnh hạn chế ra khỏi nhà có làm dân số bùng nổ hậu đại dịch Covid-19?  https://ngon24h.wordpress.com/2020/04/06/the-economist-lenh-han-che-ra-khoi-nha-co-lam-dan-so-bung-no-hau-dai-dich-covid-19/ … pic.twitter.com/vXK22AfE8z
235,"#StayAtHome nhi to,,,,

#MEMES #Covid_19 pic.twitter.com/S6uhtVYne8"
236,"THỦ TƯỚNG: DÙ CA NHIỄM COVID-19 GIẢM, NHƯNG KHÔNG THỂ CHỦ QUAN  http://tvel.vn/thu-tuong-du-ca-nhiem-covid-19-giam-nhung-khong-chu-quan/ …"
237,TÌNH NGƯỜI TRONG MÙA DỊCH COVID-19  http://tvel.vn/tinh-nguoi-trong-mua-dich-covid-19/ …
238,"Việt Nam chặn dịch bằng mọi giá, đạt tín nhiệm cao nhất trong ứng phó Covid-19  https://gamemobilemoi.wordpress.com/2020/04/06/viet-nam-chan-dich-bang-moi-gia-dat-tin-nhiem-cao-nhat-trong-ung-pho-covid-19/ … pic.twitter.com/4hyOxIUL2t"
239,1 năm đã trôi qua . Con gái đã thêm 1 tuổi. Sinh nhật trong mùa dịch Covid tội nghiệp con gái quá  pic.twitter.com/AwWbAivjPp
240,Một tháng Covid-19 'oanh tạc' kinh tế Mỹ  https://vnexpress.net/kinh-doanh/mot-thang-covid-19-oanh-tac-kinh-te-my-4080056.html … pic.twitter.com/uRSOpwIBhV
241,"❤️ 🇻🇳 Đã có 95 bệnh nhân mắc COVID-19 được công bố khỏi bệnh.
💠 Tại Việt Nam, tính đến ngày 6/4 ghi nhận 241 trường hợp mắc tại 25 tỉnh, thành phố - đứng thứ 97 trong số 208 quốc gia và vùng lãnh thổ có người mắc COVID-19.  https://thanhphohaiphong.gov.vn/da-co-95-benh-nhan-mac-covid-19-duoc-cong-bo-khoi-benh.html … pic.twitter.com/hhvpX4vtn2"
242,Check out this article: Không có trường hợp nhiễm COVID-19 mới nào được báo cáo trong buổi sáng thứ hai liên tiếp  -  http://vietanhsongngu.com/khong-co-truong-hop-nhiem-covid-19-moi-nao-duoc-bao-cao-trong-buoi-sang-thu-hai-lien-tiep--776.htm …
243,Tin tức Corona 6/4 | Phi công người Anh nhiễm Covid-19 tại Buddha phải c...  https://youtu.be/q6ap6HXSEJY  qua @YouTube
244,"Lệnh hạn chế ra khỏi nhà có làm dân số bùng nổ hậu Covid-19?
Các nhà sản xuất bao cao su báo cáo doanh số bán hàng đang tăng đột biến. Vì vậy, cho dù các cặp vợ chồng bị cô lập cùng nhau, có lẽ dân số cũng chưa chắc sẽ bùng nổ.
#Covid_19 ,#COVID19 pic.twitter.com/XwoJx1pjKt"
245,"Người mắc COVID-19, nhưng bề ngoài không biểu hiện có bệnh, vậy có làm lây lan bệnh không?  https://tinviet360.com/index.php/2020/04/06/nguoi-mac-covid-19-nhung-be-ngoai-khong-bieu-hien-co-benh-vay-co-lam-lay-lan-benh-khong/ … pic.twitter.com/9m9pyVHo78"
246,"Những tin vui về công tác phòng chống dịch COVID-19 tại Việt Nam
#Covid-19
 https://caodangyduoctphcm.com.vn/nhung-tin-vui-ve-cong-tac-phong-chong-dich-covid-19-tai-viet-nam.html …"
247,Ở NHÀ CHỐNG DỊCH CORONA I COVID-19 I Chị trông em thật cute I TamTam Cha...  https://youtu.be/zpcFRHEWbqw  via @YouTube
248,Đặt 6 nhà thùng Container hỗ trợ các chốt kiểm soát phòng chống dịch Covid-19  http://congsuong.com/2020/04/06/dat-6-nha-thung-container-ho-tro-cac-chot-kiem-soat-phong-chong-dich-covid-19/ … pic.twitter.com/JZgpr2ntuK
249,"Li Hewlêrê 41 kesên din bi koronayê ketin
#Hewlêr #Korona #Covid_19
 http://peyamakurd.org/kurmanci/Kurdistan/li-hewlere-41-kesen-din-bi-koronaye-ketin … pic.twitter.com/LzVp8KDPez"
250,Cập Nhật Diễn Biến Covid 19 Trên Thế Giới Trong Ngày 6/4 | GENews.  https://youtu.be/HLnPh61-Who  qua @YouTube
251,"🔖 Mang súng... đi dạo.
💠 Nhằm bảo đảm ANTT trên địa bàn thành phố, nhất là đợt cao điểm phòng chống dịch bệnh Covid-19, Phòng Cảnh sát Hình sự - CATP đã tăng cường lực lượng, phối hợp chặt chẽ với công an các đơn vị, địa phương…  https://thanhphohaiphong.gov.vn/mang-sung-di-dao.html … pic.twitter.com/f6lwqqHnDa"
252,Thêm 4 bệnh nhân mắc COVID-19 được công bố khỏi bệnh  https://goodstock.vn/them-4-benh-nhan-mac-covid-19-duoc-cong-bo-khoi-benh/ …
253,"Sức ép từ covid-19 không hoàn toàn tạo ra không khí trầm lắng cho các nhà đầu tư. Với họ, đây là thời gian để nhận diện những thị trường tiềm năng và an toàn như nhà đất Long An.

 https://www.truongngocphu.com/2020/04/vi-sao-bds-long-an-van-nong-du-covid-19-bung-no.html … pic.twitter.com/urSO88x0px"
254,Việt Nam 52.000 người liên quan đến ổ dịch Covid-19 Bệnh viện Bạch Mai  pic.twitter.com/avj3Xgzv98
255,"Mỹ: CDC xét nghiệm máu xác định khả năng miễn dịch chống COVID-19
#CDC #COVID19 #diễnbiếndịchcovid19 #tintứcdịchcovid19 #Vietnambiz https://vietnambiz.vn/my-cdc-xet-nghiem-mau-xac-dinh-kha-nang-mien-dich-chong-covid-19-20200406090757608.htm …"
256,"Nhà giàu bung tiền săn nhà đất bán tháo, cắt lỗ sâu trong mùa dịch Covid-19  https://goodstock.vn/nha-giau-bung-tien-san-nha-dat-ban-thao-cat-lo-sau-trong-mua-dich-covid-19/ … pic.twitter.com/Vo1Orqzm0v"
257,"Lợi nhuận quý 1/2020 ước giảm 24% về 1.857 tỷ do ảnh hưởng COVID-19, lợi nhuận cả năm có thể chỉ bằng 14% so với kế hoạch  https://goodstock.vn/loi-nhuan-quy-1-2020-uoc-giam-24-ve-1-857-ty-do-anh-huong-covid-19-loi-nhuan-ca-nam-co-the-chi-bang-14-so-voi-ke-hoach/ … pic.twitter.com/Je0ykV4A4v"
258,Ngắm Hoa Anh Đào Mùa CoVid 2020. #VănVõVlogs#  https://youtu.be/NGnW0JzTV_s  qua @YouTube
259,Dịch COVID-19 chiều 6-4: Campuchia không có ca nhiễm mới 3 ngày liên tiếp  http://a.msn.com/01/vi-vn/BB12cYMw?ocid=st …
260,"Mua thang nhôm tại thangnhomcaocap trong mùa dịch Covid-19 và  thời kì ""cách ly toàn xã hội 15 ngày"" khách hàng sẽ được: 
- Giao hàng tận nơi hỏa tốc
- Đội ngũ kinh doanh luôn nhiệt tình, có trách nhiệm
 https://bit.ly/3bZaetJ  pic.twitter.com/0A0EZGEehz"
261,"15.000 công ty ngừng hoạt động, hơn 150.000 hộ kinh doanh gặp vô cùng khó khăn lớn vì Covid-19, thành phố đề ra 3 kịch bản điều hành  https://goodstock.vn/15-000-cong-ty-ngung-hoat-dong-hon-150-000-ho-kinh-doanh-gap-vo-cung-kho-khan-lon-vi-covid-19-thanh-pho-de-ra-3-kich-ban-dieu-hanh/ … pic.twitter.com/kZfAhzYiiv"
262,Covid-19: Hàng nghìn công nhân Hòa Phát – Dung Quất chen chúc nhau qua cổng  http://a.msn.com/01/vi-vn/BB12cT13?ocid=st …
263,"Chỉ thị 03/CT-VKSTC xử lý tội phạm liên quan đến phòng, chống dịch bệnh Covid-19  https://goo.gl/fb/YPgkPW "
264,Ciputra Hanoi ủng hộ 5 tỷ phòng chống Covid-19  https://vnexpress.net/kinh-doanh/ciputra-hanoi-ung-ho-5-ty-phong-chong-covid-19-4079810.html … pic.twitter.com/gWpwjs5r7O
265,Covid-19: UEFA xác nhận khả năng hủy cả Champions League lẫn Europa League  https://gamemobilemoi.wordpress.com/2020/04/06/covid-19-uefa-xac-nhan-kha-nang-huy-ca-champions-league-lan-europa-league/ … pic.twitter.com/wo5HDOZ1Az
266,Chủ tịch LĐBĐ Thái dọa bỏ AFF Cup vì covid-19  https://gamemobilemoi.wordpress.com/2020/04/06/chu-tich-ldbd-thai-doa-bo-aff-cup-vi-covid-19/ … pic.twitter.com/noluZPnUg1
267,"Video về tin tức, giải trí mới nhất, nhanh nhất và hot nhất
#tintuc
#Covid19Out #Covid_19 #vietnam
#yeah1news
#video https://video.yeah1.com/ "
268,Bác sĩ của đội bóng Pháp tự sát sau khi nhiễm Covid-19  https://gamemobilemoi.wordpress.com/2020/04/06/bac-si-cua-doi-bong-phap-tu-sat-sau-khi-nhiem-covid-19/ … pic.twitter.com/2FDie2EUGg
269,"Bị nhắc đeo khẩu trang, người đàn ông Hải Dương dọa đánh cán bộ
#video
#yeah1news
#Covid19Out #Covid_19 #Vietnam https://video.yeah1.com/song/bi-nhac-deo-khau-trang-nguoi-dan-ong-hai-duong-doa-danh-can-bo-7KEQ35kaM8.html …"
270,"Mới lạ cách bán hàng của tiệm phở để tránh tiếp xúc trong mùa dịch
#video
#yeah1news
#Covid19Out #Covid_19 #Vietnam https://video.yeah1.com/song/moi-la-cach-ban-hang-cua-tiem-pho-de-tranh-tiep-xuc-trong-mua-dich-dGElP45EjD.html …"
271,Quan tài bằng thùng các tông cho nạn nhân Covid-19  http://a.msn.com/0E/vi-vn/BB12cQkO?ocid=st …
272,Đồng bạc xanh tăng giá khi thiệt hại về người liên quan đến Covid-19 giảm  https://taichinhhomnay.vn/dong-bac-xanh-tang-gia-khi-thiet-hai-ve-nguoi-lien-quan-den-covid-19-giam/ … pic.twitter.com/QwObsuNCwC
273,Đồng bạc xanh tăng giá khi thiệt hại về người liên quan đến Covid-19 giảm  https://taichinhhomnay.vn/dong-bac-xanh-tang-gia-khi-thiet-hai-ve-nguoi-lien-quan-den-covid-19-giam/ … pic.twitter.com/Px4fgCdJZa
274,Đồng bạc xanh tăng giá khi thiệt hại về người liên quan đến Covid-19 giảm  https://taichinhhomnay.vn/dong-bac-xanh-tang-gia-khi-thiet-hai-ve-nguoi-lien-quan-den-covid-19-giam/ … pic.twitter.com/QlMelneTuP
275,Thông báo khẩn tìm người tiếp xúc nữ phóng viên là bệnh nhân COVID-19  http://a.msn.com/01/vi-vn/BB12bFi6?ocid=st …
276,"Hàng trăm người đi lễ nhà thờ ở Hà Tĩnh trong dịch COVID-19
#COVID19 #viruscorona #diễnbiếndịchcovid19 #tintứcdịchcovid19 #Vietnambiz https://vietnambiz.vn/hang-tram-nguoi-di-le-nha-tho-o-ha-tinh-trong-dich-covid-19-20200406080755604.htm …"
277,COVID-19: Ca lây nhiễm F4 đầu tiên ở Việt Nam ra sao?  http://a.msn.com/01/vi-vn/BB129Dny?ocid=st …
278,Have you heard ‘NST Khóc Cùng Covid 19 - Tidi ft Timus’ by DJ TiDi⭐️⭐️⭐️⭐️⭐️ on #SoundCloud? #np https://soundcloud.com/djtidi/nst-khoc-cung-covid-19-fx …
279,"Covid 19 khiến 34.900 công ty đóng cửa, giải thể, phá sản  https://goodstock.vn/covid-19-khien-34-900-cong-ty-dong-cua-giai-the-pha-san/ … pic.twitter.com/PUSeyuATe1"
280,BoE sẽ không in tiền để tăng ngân sách chống dịch COVID-19  https://goodstock.vn/boe-se-khong-in-tien-de-tang-ngan-sach-chong-dich-covid-19/ … pic.twitter.com/m4QPzc3dm1
281,TT ngoại hối 6/4: Yên Nhật chịu ‘đòn đau’ vì Covid-19; USD tiếp tục tăng  https://giavang.net/tt-ngoai-hoi-6-4-yen-nhat-chiu-don-dau-vi-covid-19-usd-tiep-tuc-tang/ …
282,Sài Gòn trong Covid-19  http://diendandulich-vn.blogspot.com/2020/04/sai-gon-trong-covid-19.html … pic.twitter.com/r1VajJHeYm
283,cách bổ sung năng lượng chống covid-19  http://vegiare.net.vn/tin-tuc/cach-bo-sung-nang-luong-chong-covid19.html#.Xor0b_LhMOc.twitter …
284,Top 5 Việc làm online dễ bị lừa đảo nhất mùa Covid-19  https://ift.tt/3e2pvfw 
285,Trường ĐH lắp ráp robot khử khuẩn chống Covid-19  https://tinviet360.com/index.php/2020/04/06/truong-dh-lap-rap-robot-khu-khuan-chong-covid-19/ … pic.twitter.com/PjOji3kqUx
286,Bán Harbor Bay Hạ Long giá rẻ giật mình mùa covid  https://ift.tt/3bTC5vt 
287,Chủ nhân Nobel Kinh tế không hài lòng cách Mỹ đối phó Covid-19  https://tinviet360.com/index.php/2020/04/06/chu-nhan-nobel-kinh-te-khong-hai-long-cach-my-doi-pho-covid-19/ … pic.twitter.com/e7sVIMHsAg
288,"Chính thức làm thêm nghề đi soi mùa covid gia tăng thu nhập, 
Mình rất nguy hiểm, các bạn hãy cẩn thận 😆😆😆

Ai cần tư vấn Bảo Hiểm mình sẽ bỏ qua lỗi quên đeo khẩu trang 🤔  https://www.instagram.com/p/B-ok3UYpund/?igshid=1va0o3os9mbwn …"
289,Covid-19 :Trung Quốc báo động về số ca nhiễm không có triệu chứng  https://rfi.my/5hZW.t  pic.twitter.com/Zsd5C4upGd
290,Gần nửa triệu doanh nghiệp Trung Quốc đóng cửa vì COVID-19  https://ngon24h.wordpress.com/2020/04/06/gan-nua-trieu-doanh-nghiep-trung-quoc-dong-cua-vi-covid-19/ … pic.twitter.com/sJrgd5ZPkq
291,Ông Putin tiếp tục làm việc từ xa sau khi tiếp xúc bác sỹ mắc Covid-19  https://ngon24h.wordpress.com/2020/04/06/ong-putin-tiep-tuc-lam-viec-tu-xa-sau-khi-tiep-xuc-bac-sy-mac-covid-19/ … pic.twitter.com/FHgJ0k4qlF
292,"Thời dịch Covid nhiều cty bé đối mặt với phá sản
#차트인으로_온세상을플래시
Muốn gà nhà được săn đón được nhiều fans chờ đợi
#MakeFlash_Flash
Còn mấy chú được vầy là may mắn lắm rồi mà còn điêu toa, ích kỷ thì tôi xin phục
@x1official101"
293,những trường hợp được phép ra đường khi cần thiết mùa dịch Covid-19  https://hoangnguyenpharma.com.vn/nhung-truong-hop-duoc-phep-ra-duong-khi-can-thiet-mua-dich-covid-19/ …
294,"Địa ốc đối mặt với kịch bản màu xám vì Covid-19
Visit:  https://diathevang.vn/dia-oc-doi-mat-voi-kich-ban-mau-xam-vi-covid-19.html?feed_id=76316 … pic.twitter.com/nWBBDFOCtU"
295,Phi công người Anh nhiễm Covid-19  pic.twitter.com/iFQXnqwLiA
296,Check out this article: Nhiều khán giả ca ngợi lời bài hát 'Trống cơm - chống Covid-19'  -  http://vietanhsongngu.com/nhieu-khan-gia-ca-ngoi-loi-bai-hat--trong-com---chong-covid-19---775.htm …
297,EVNNPT chủ động 5 kịch bản ứng phóng dịch COVID -19  https://ift.tt/3aNMwRh 
298,"Ca khúc cổ động các cán bộ chiến sĩ VN tuyến đầu chống dịch Covid-19
 https://www.youtube.com/watch?v=auVSYQcm_UU …"
299,"2 thanh niên cướp khẩu trang, tát nữ nhân viên tổ kiểm soát dịch Covid-19  https://ngon24h.wordpress.com/2020/04/06/2-thanh-nien-cuop-khau-trang-tat-nu-nhan-vien-to-kiem-soat-dich-covid-19/ … pic.twitter.com/njQ7IWpFDG"
300,"Hôm nay, có thêm 4 bệnh nhân mắc COVID-19 khỏi bệnh  https://youtu.be/zx-8z_QnPEI  via @YouTube"
301,UBND thành phố Hải phòng chuẩn bị triển khai các biện pháp hỗ trợ người dân gặp khó khăn do đại dịch COVID-19  https://www.thuviengiadinh.com/trang-hai-phong/ubnd-thanh-pho-hai-phong-chuan-bi-trien-khai-cac-bien-phap-ho-tro-nguoi-dan-gap-kho-khan-do-dai-dich-covid-19 … via @Chia sẻ kiến thức đời sống
302,"Nếu đại dịch Covid-19 kéo dài đến hết tháng 6, tháng 9 hoặc hết năm, tỷ lệ doanh nghiệp Việt Nam sẽ là 6,1% duy trì, 19,3% cắt giảm qui mô và 39,3% phá sản.
  https://htkshop.vn/kich-ban-xau-nhat-covid-19-co-the-khien-393-doanh-nghiep-pha-san …"
303,Thái Lan tính chuyện bỏ AFF Cup 2020 nếu dịch Covid không được đẩy lùi  https://ift.tt/2yDXSZR 
304,"Đại Dịch Covid - 19 làm tê liệt các nền kinh tế. Các nhà sản xuất không ra hàng và không sản xuất được, sản xuất ngưng trệ nhiều.
#Coronavirusireland #COVID19 , #neonamviet pic.twitter.com/7Qmr8bVP4r"
305,Các ngân hàng nên làm gì để tận dụng cơ hội giữa muôn vàn khó khăn vì Covid-19?  https://giavang.net/cac-ngan-hang-nen-lam-gi-de-tan-dung-co-hoi-giua-muon-van-kho-khan-vi-covid-19/ …
306,Làm phim tài liệu về nỗ lực chung tay đẩy lùi dịch COVID-19 ở Việt Nam  https://tinquangbinh.com/2020/04/976471/lam-phim-tai-lieu-ve-no-luc-chung-tay-day-lui-dich-covid-19-o-viet-nam/ … pic.twitter.com/WjGVfixFsR
307,"Việt Nam nâng danh sách khỏi bệnh #COVID_19 lên 95 trường hợp

#truongcaodangyduocpasteur
#caodangyduochanoi https://truongcaodangyduocpasteur.edu.vn/viet-nam-nang-danh-sach-khoi-benh-covid-19-len-95-truong-hop.html …"
308,"Xác nhận ca động vật đầu tiên tại Mỹ dương tính với virus corona
#Covid-19
 https://truongcaodangyduocpasteur.edu.vn/xac-nhan-ca-dong-vat-dau-tien-tai-my-duong-tinh-voi-virus-corona.html …"
309,Trốn cách ly Covid 19: các nước bị phạt như thế nào?  https://ift.tt/2XcKGVT 
310,📹 Trốn cách ly Covid 19: các nước bị phạt như thế nào?  https://tmblr.co/ZwZMEVY7e8AdCy00 …
311,Trốn cách ly Covid 19: các nước bị phạt như thế nào?  https://youtu.be/ykdlLoQVwtM  via @YouTube
312,"Niềng răng bất động sản cho áp lực dòng tiền tệ nhất
#bánnhàở #covid-19 #địaốc #khóamáy #thunhậpchothuê #trungtâmmuasắm #viruscorona #xacáchxãhội
 https://www.bdscuatui.com/nieng-rang-bat-dong-san-cho-ap-luc-dong-tien-te-nhat-32026/?feed_id=17723&_unique_id=5e8aec10ce241 …"
313,Sài Gòn trong Covid-19  https://ift.tt/2XdYXle  pic.twitter.com/SWCiypxiz4
314,Sống chung với người tự cách ly rất dễ bị lây nhiễm virus COVID-19  https://thongtinhanquoc.com/song-chung-voi-nguoi-tu-cach-ly-rat-de-bi-lay-nhiem-virus-covid-19/ … pic.twitter.com/5XDTW6d3W8
315,Covid đi qua lẹ cho cô gái đi tung tăng nào 😂 ở nhà riết mục người á #RedVelvet @RVsmtown
316,"Lợi nhuận quý 1 tăng 22,5% lên 37 tỷ đồng, cổ phiếu bật tăng trần bất chấp cao điểm dịch COVID-19  https://goodstock.vn/loi-nhuan-quy-1-tang-225-len-37-ty-dong-co-phieu-bat-tang-tran-bat-chap-cao-diem-dich-covid-19/ … pic.twitter.com/4K0XpcjZM9"
317,"Chuyện buồn của cựu tuyển thủ Thái Lan có quốc tịch Việt Nam: Vợ qua đời vào những ngày dịch Covid-19 bùng phát, không thể đón người thân đến đưa tiễn  https://ngon24h.wordpress.com/2020/04/06/chuyen-buon-cua-cuu-tuyen-thu-thai-lan-co-quoc-tich-viet-nam-vo-qua-doi-vao-nhung-ngay-dich-covid-19-bung-phat-khong-the-don-nguoi-than-den-dua-tien/ … pic.twitter.com/s0TiXGxuvX"
318,Hình ảnh đau thương tại tâm dịch New York: Thi thể nạn nhân COVID-19 “xếp hàng” chật hành lang bệnh viện  https://ngon24h.wordpress.com/2020/04/06/hinh-anh-dau-thuong-tai-tam-dich-new-york-thi-the-nan-nhan-covid-19-xep-hang-chat-hanh-lang-benh-vien/ … pic.twitter.com/o0eRBHbMpo
319,Sài Gòn trong Covid-19  http://diendandulich-vn.blogspot.com/2020/04/sai-gon-trong-covid-19.html … pic.twitter.com/XqcKQujAW1
320,"Giữa tâm dịch Covid 19, ứng dụng chăm sóc y tế từ xa Doctor Anywhere gọi vốn 27 triệu USD  https://trungcln.com/giua-tam-dich-covid-19-ung-dung-cham-soc-y-te-tu-xa-doctor-anywhere-goi-von-27-trieu-usd/ … pic.twitter.com/irtCmLZLJn"
321,EVNNPT chủ động 5 kịch bản ứng phóng dịch COVID -19  https://goodstock.vn/evnnpt-chu-dong-5-kich-ban-ung-phong-dich-covid-19/ … pic.twitter.com/jjHffHzldM
322,“Việt Nam là quốc gia đáng ca ngợi hàng đầu trong cuộc chiến chống dịch COVID-19”  https://ngon24h.wordpress.com/2020/04/06/viet-nam-la-quoc-gia-dang-ca-ngoi-hang-dau-trong-cuoc-chien-chong-dich-covid-19/ … pic.twitter.com/t6O7KuwqzF
323,Nhiều phụ huynh chọn giải pháp an toàn thay kế hoạch cho con du học vì đại dịch Covid-19  https://ngon24h.wordpress.com/2020/04/06/nhieu-phu-huynh-chon-giai-phap-an-toan-thay-ke-hoach-cho-con-du-hoc-vi-dai-dich-covid-19/ … pic.twitter.com/72pjN2kuY3
324,"Cùng nghe 3 bà nội trợ Việt chia sẻ kế hoạch chi tiêu tiết kiệm mùa Covid-19: Người thì thắt chặt chi tiêu ăn uống, người thì làm công việc tạm thời, người vội vàng xây dựng quỹ dự phòng khẩn  https://ngon24h.wordpress.com/2020/04/06/cung-nghe-3-ba-noi-tro-viet-chia-se-ke-hoach-chi-tieu-tiet-kiem-mua-covid-19-nguoi-thi-that-chat-chi-tieu-an-uong-nguoi-thi-lam-cong-viec-tam-thoi-nguoi-voi-vang-xay-dung-quy-du-phong-khan/ … pic.twitter.com/0JjZuxh9bg"
325,Chưa thể nói dịch COVID -19 đã lui  https://ngon24h.wordpress.com/2020/04/06/chua-the-noi-dich-covid-19-da-lui/ … pic.twitter.com/LAO6bYZdaP
326," https://youtu.be/JkrIqvZMJRc  
Các V-ARMY tài năng đã sáng tác ra thêm một ca khúc chống dịch Covid-19 dựa trên ca khúc gốc của BTS đó là Go Go!Tự hào quá chừng!
Cùng nhau ở nhà để tránh lây lan dịch bệnh nha mọi người!Yêu mọi người nhiều! 
@BTS_twt #GoogCorona #V_Army"
327,Cùng Nhau chóng Dịch Covid 19|Dựa Trên Nền Nhạc Bác Cùng Chúng Cháu Hành Quân|Có Lời  https://youtu.be/7-YTzruIvy0 
328,Càng phán xét Trung Quốc thì Châu Âu và nước Mỹ càng bị chết ! Đó là phán xét ngược bởi vì Trung Quốc không phải thủ phạm ! Thủ phạm nằm trong nước Mỹ và Châu Âu! Covid Chúa - bệnh nhân số 0 đang ẩn trong nhà Trắng và Vatican
329,"Chuyên gia Mỹ cảnh báo Covid-19 là 'bệnh theo mùa', có thể bùng phát trở lại - VTC News  https://vtc.vn/thoi-su-quoc-te/chuyen-gia-my-canh-bao-covid-19-la-benh-theo-mua-co-the-bung-phat-tro-lai-ar538297.html …"
330,Startup nên làm gì để xoay chuyển nghịch cảnh trong Covid-19  https://video.vnexpress.net/tin-tuc/kinh-doanh/startup-nen-lam-gi-de-xoay-chuyen-nghich-canh-trong-covid-19-4080122.html … pic.twitter.com/VjZV5PVlcp
331,Trump và Cầm quyền tham vọng thống trị trái đất hàng trăm năm nay ! Và covid 19 chính là tác phẩm của Nhà Trắng. Tiếc là việc kiểm soát đường chân trời đã rơi vào tay người khác và cái giá phải trả cho Hoa Kỳ là gậy ông đập lưng ông
332,Thủ tướng Ireland xung phong làm bác sĩ chống Covid-19 - VTC News  https://vtc.vn/thoi-su-quoc-te/thu-tuong-ireland-xung-phong-lam-bac-si-chong-covid-19-ar538324.html …
333,10 hành vi bị phạt trong Covid-19  https://giavang.net/10-hanh-vi-bi-phat-trong-covid-19/ …
334,"Covid 19 coronavirus: Những người vay thế chấp của công ty tài chính sợ mất nhà vì ngành này ...
 https://www.bdscuatui.com/covid-19-coronavirus-nhung-nguoi-vay-the-chap-cua-cong-ty-tai-chinh-so-mat-nha-vi-nganh-nay-trong-cho-su-ho-tro-32029/?feed_id=17729&_unique_id=5e8ae824ded24 …"
335,Covid-19 có thể ‘đốt’ thêm 61 tỉ USD của các hãng hàng không  https://goodstock.vn/covid-19-co-the-dot-them-61-ti-usd-cua-cac-hang-hang-khong/ … pic.twitter.com/4jt8xTtp1z
336,Lệnh hạn chế ra khỏi nhà có làm dân số bùng nổ hậu đại dịch Covid-19?  http://hoicodo.com/610335/lenh-han-che-ra-khoi-nha-co-lam-dan-so-bung-no-hau-dai-dich-covid-19/ … pic.twitter.com/0HvW2Z2qFY
337, http://Batdongsan.com.vn  ra mắt chuyên mục mới “BĐS & Covid-19”  https://ift.tt/3aNUZ6R 
338,"Thế giới đối phó Covid-19: Bộ trưởng Tài chính Đức tự tử vì áp lực, Thụy Sỹ thành điểm nóng mới - Mxpress - Kênh thông tin thị trường; Mxpress - Tin tức thị trường Việt Nam  https://shar.es/aH62iQ "
339,Kế hoạch bay thương mại của Vietravel Airlines sẽ bị ảnh hưởng bởi dịch COVID - Mxpress - Kênh thông tin thị trường; Mxpress - Tin tức thị trường Việt Nam  https://shar.es/aH62zT 
340,"sau khi được nghe thông báo BN 36 là bệnh nhân cuối cùng trong 9 bệnh nhân nhiễm COVID – 19 tại Bình Thuận đã âm tính lần 1, tập thể y bác sĩ khoa Truyền nhiễm Bệnh viện Đa khoa Bình Thuận đã òa khóc vì vui mừng  pic.twitter.com/DNEDFyIBbJ"
341,Cặp đôi được kiểm tra COVID-19 lại bị lộ dương tính với ma túy  http://hoicodo.com/610331/cap-doi-duoc-kiem-tra-covid-19-lai-bi-lo-duong-tinh-voi-ma-tuy/ … pic.twitter.com/1TOO49JqwL
342,Đi câu cá giải trí | tránh dịch COVID-19  https://youtu.be/Tiq7RKzWb1o  qua @YouTube
343,"Thế giới giữa bão Covid-19, Putin đảo chiều sau cú gọi của Donald Trump  https://tinviet360.com/index.php/2020/04/06/the-gioi-giua-bao-covid-19-putin-dao-chieu-sau-cu-goi-cua-donald-trump/ … pic.twitter.com/imomb6xMUw"
344,Grab triển khai thêm giải pháp mới hỗ trợ người dùng Việt ứng phó với dịch COVID-19  https://www.techsignin.com/?p=125771 
345,"Bán máy thở khi thế giới hoảng loạn vì Covid-19, người giàu nhất Singapore bỏ túi 3,5 tỷ USD sau vài tháng  https://ngon24h.wordpress.com/2020/04/06/ban-may-tho-khi-the-gioi-hoang-loan-vi-covid-19-nguoi-giau-nhat-singapore-bo-tui-35-ty-usd-sau-vai-thang/ … pic.twitter.com/WaPr7hBPf9"
346,Cofounder  http://viec.co  tâm sự bi hài thói quen mới thời Covid-19: Ngày nào cũng mở tài khoản ngân hàng ra xem còn bao nhiêu tiền trong túi!  https://ngon24h.wordpress.com/2020/04/06/cofounder-viec-co-tam-su-bi-hai-thoi-quen-moi-thoi-covid-19-ngay-nao-cung-mo-tai-khoan-ngan-hang-ra-xem-con-bao-nhieu-tien-trong-tui/ … pic.twitter.com/dMA8jxRnXH
347,cách bổ sung năng lượng chống covid-19  http://www.vegiare.net.vn/tin-tuc/cach-bo-sung-nang-luong-chong-covid19.html#.XorkO6x-PzQ.twitter …
348,"🇺🇸A lô anh Phúc đó à!
Đã lâu không gặp, rất là nhớ anh.
Mong anh tư vấn thật nhanh.
Không thì nước Mỹ tan tành đến nơi!

Chắc anh cũng nắm được rồi!
Rất là nguy cấp, đứng ngồi không yên!
Từ ngày Covid vượt…  https://www.instagram.com/p/B-odqU5F1MU/?igshid=1i5tbdz03xewm …"
349,"🎯 1.524 trường  
🎯 425.119 tài khoản giáo viên
🎯 5.204.335 tài khoản học sinh
🎯 313.823 bài giảng.

ĐÃ SỬ DỤNG E-Learning VNPT - Dạy & Học Online Có Được Công Nhận Kết Quả Học Tập trong thời gian dịch Covid-19?
Xem chi tiết tại: 
 https://18001166.vn/dich-vu/day-hoc-online-tu-e-learning-vnpt-co-duoc-cong-nhan-ket-qua-hoc-tap-672.html … pic.twitter.com/uXyjdRWNix"
350,Grab triển khai thêm loạt giải pháp mới hỗ trợ người dùng chống dịch COVID-19  https://www.techtimes.vn/grab-trien-khai-them-loat-giai-phap-chong-dich-covid-19/ … pic.twitter.com/HHxwEDPFNS
